tenant_id,segment,tenure_months,total_billed,avg_rent,unpaid_ratio,invoices,ltv_paid
25aa0362-c4dd-16cd-169e-1e9f819ec83b,0,3,32985.0,9479.666666666666,0.0,3,32985.0
25aa2406-e171-b558-8249-7a525d126d8f,0,9,181838.0,18500.0,0.3333333333333333,9,119060.0
25b63db3-6d1d-cb00-d25c-dfd8b4b17909,1,17,268547.0,13345.823529411764,0.0,17,268547.0
25d08204-bdeb-ff7d-463f-3da9fc06d784,0,3,37228.0,7519.0,0.5,4,26352.0
25ef6338-6197-45a8-82d9-ddd0a846f1b2,0,3,44925.0,13355.0,1.0,3,0.0
260508e6-bace-3923-cfed-6f4da685cf49,0,4,59418.0,12462.75,0.0,4,59418.0
2608b690-ad23-63ed-1e3e-85beb47f4f29,0,5,94964.0,16292.8,0.2,5,82187.0
2631ddfd-660e-8719-1876-82cf88e13a60,1,18,278477.0,14118.888888888889,0.16666666666666666,18,230879.0
26b16f30-da65-8aa3-d1ec-4867ac2a8f35,0,7,102006.0,12963.285714285714,0.42857142857142855,7,56657.0
271998b4-d824-8d04-2b65-7c072eb4ba29,0,2,26640.0,11070.0,0.5,2,13991.0
275b413a-b62b-68d4-0dc0-a024e7446e9e,0,1,15750.0,12600.0,0.0,1,15750.0
276b5368-040e-e40e-948d-d1159a743920,0,11,186686.0,14000.583333333334,0.08333333333333333,12,175436.0
27847c66-2d18-b22c-9667-4a86dccb1baf,0,2,19519.0,8178.5,0.5,2,10690.0
2794ccf7-4966-f00d-35d6-34ac17db73ea,1,40,743244.0,17018.341463414636,0.17073170731707318,41,631910.0
27ffea04-c43e-3938-a0cd-02ce1885f857,0,3,58813.0,17867.0,0.0,3,58813.0
284ce00f-b05a-4366-9117-bf73f7449a76,0,2,28051.0,13175.0,0.5,2,10850.0
286a5d35-07d2-54bb-eb89-e9519f239c26,0,7,127068.0,17044.285714285714,0.0,7,127068.0
28bc36ac-10ee-238f-d3f4-24d10136bbb5,0,12,165865.0,12021.5,0.16666666666666666,12,147251.0
294ea6bb-86ba-b567-f9c9-999f73233389,0,3,36876.0,9808.666666666666,0.0,3,36876.0
29e47ac1-831d-9edd-4744-efc0e2037ff3,0,3,58891.0,17983.333333333332,0.0,3,58891.0
2a00764b-10fd-4f2c-84a8-b611cf9b893a,0,2,16136.0,7975.0,0.5,2,1450.0
2a1b9781-7270-da00-bf8a-adaf9ce20080,0,3,29958.0,8177.666666666667,0.0,3,29958.0
2a58151b-3aea-8f37-a254-56432cd03704,1,17,253743.0,13070.470588235294,0.0,17,253743.0
2ac29dfd-418d-441f-877a-2a980e43ca16,0,3,35449.0,9808.0,0.0,3,35449.0
2ac2da6e-0954-f906-32d7-a1f55477c590,0,7,99320.0,12974.714285714286,0.5714285714285714,7,38130.0
2b773ffc-34e2-9684-1de8-d16c36abe81e,0,10,66020.0,9139.666666666666,0.3333333333333333,6,46150.0
2b785f57-1c4f-d4a8-d486-b69e7b2db5bc,1,16,322389.0,19191.1875,0.1875,16,261007.0
2ba81159-3fd3-401a-b806-4cf09e7dce86,0,3,57581.0,18451.666666666668,0.6666666666666666,3,16355.0
2bd67002-1f8f-faff-efc5-5063dbedf10f,0,13,208969.0,14500.0,0.15384615384615385,13,172189.0
2c05db07-e980-4d52-a524-1b1ee5185554,0,3,37518.0,10446.666666666666,0.6666666666666666,3,13565.0
2c1980eb-be51-916e-8f61-1e8fe83afb0c,0,12,236651.0,18189.5,0.25,12,171506.0
2c62dfe0-1a80-ff55-1d8b-51ac0c7da2fe,0,9,143399.0,14172.444444444445,0.0,9,143399.0
2cd65886-67b3-a4eb-7aad-7c0a230ba95d,0,13,193230.0,13334.923076923076,0.0,13,193230.0
2cd7e593-62c3-5761-bdae-3267917b5674,0,2,53357.0,24000.0,0.0,2,53357.0
2d21b1a6-f9fa-f115-d59a-f6f2f5ab38a9,0,5,59693.0,10457.8,0.2,5,42443.0
2d24b7c1-6556-8eb5-73d6-3ed3913e6d40,0,6,81066.0,12083.333333333334,0.0,6,81066.0
2d4a776f-2d3b-bce7-f4bb-29b420e033fe,0,1,4199.0,1360.0,0.0,1,4199.0
2d700a6b-44c4-438b-841f-febe1b2c47a7,0,2,6676.0,2892.5,0.5,2,5317.0
